Date,Ticker,Sector,Open,High,Low,Close,Volume,Daily_Return,MA_20,MA_50,Volatility_20d,Price_Range,Year,Month,Month_Name,Quarter,DayOfWeek,Cum_Return
2022-01-03,AAPL,Technology,130.8727,132.435,129.0445,130.0,6812566,,130.0,130.0,,3.3905,2022,1,Jan,1,Monday,
2022-01-04,AAPL,Technology,131.5893,132.5741,130.6721,131.2143,4827627,0.9341,130.6072,130.6072,,1.902,2022,1,Jan,1,Tuesday,0.9341
2022-01-05,AAPL,Technology,130.2831,132.8976,129.3186,130.9402,5346070,-0.2089,130.7182,130.7182,0.8082,3.579,2022,1,Jan,1,Wednesday,0.7232
2022-01-06,AAPL,Technology,131.4075,133.8085,130.1514,132.5192,4902083,1.2059,131.1684,131.1684,0.7508,3.6571,2022,1,Jan,1,Thursday,1.9378
2022-01-07,AAPL,Technology,137.0927,137.9282,135.6346,136.2051,7788876,2.7814,132.1758,132.1758,1.2322,2.2936,2022,1,Jan,1,Friday,4.7732
2022-01-10,AAPL,Technology,136.4889,136.6062,135.121,135.6855,4023651,-0.3815,132.7607,132.7607,1.2748,1.4852,2022,1,Jan,1,Monday,4.3735
2022-01-11,AAPL,Technology,134.1387,135.5441,132.8705,135.168,9472580,-0.3814,133.1046,133.1046,1.2488,2.6736,2022,1,Jan,1,Tuesday,3.9754
2022-01-12,AAPL,Technology,139.6269,139.8608,138.5139,139.0643,10308067,2.8826,133.8496,133.8496,1.4165,1.3469,2022,1,Jan,1,Wednesday,6.9725
2022-01-13,AAPL,Technology,140.5808,141.2904,139.4793,141.0409,5760095,1.4214,134.6486,134.6486,1.3208,1.8111,2022,1,Jan,1,Thursday,8.493
2022-01-14,AAPL,Technology,140.1973,140.3009,138.5639,139.9055,3860488,-0.805,135.1743,135.1743,1.3789,1.737,2022,1,Jan,1,Friday,7.6196
2022-01-17,AAPL,Technology,141.2766,143.1204,140.1066,141.3278,5849574,1.0166,135.7337,135.7337,1.3014,3.0138,2022,1,Jan,1,Monday,8.7137
2022-01-18,AAPL,Technology,141.4271,141.9892,138.3715,140.2054,11014625,-0.7942,136.1064,136.1064,1.33,3.6177,2022,1,Jan,1,Tuesday,7.8503
2022-01-19,AAPL,Technology,138.4321,139.7406,138.0562,139.0861,3343587,-0.7983,136.3356,136.3356,1.3396,1.6844,2022,1,Jan,1,Wednesday,6.9893
2022-01-20,AAPL,Technology,139.2123,141.0105,138.2467,139.7475,4914035,0.4755,136.5793,136.5793,1.2829,2.7638,2022,1,Jan,1,Thursday,7.4981
2022-01-21,AAPL,Technology,134.7096,135.2752,133.4089,134.9907,7033957,-3.4039,136.4734,136.4734,1.6262,1.8663,2022,1,Jan,1,Friday,3.839
2022-01-24,AAPL,Technology,131.9132,133.0724,130.6014,130.8534,4877857,-3.0649,136.1221,136.1221,1.7895,2.471,2022,1,Jan,1,Monday,0.6565
2022-01-25,AAPL,Technology,129.8459,130.6329,128.2202,129.5813,11245771,-0.9722,135.7374,135.7374,1.7479,2.4127,2022,1,Jan,1,Tuesday,-0.3221
2022-01-26,AAPL,Technology,127.2999,128.0303,126.6626,127.2708,3661480,-1.7831,135.267,135.267,1.7464,1.3677,2022,1,Jan,1,Wednesday,-2.0994
2022-01-27,AAPL,Technology,128.686,129.3261,127.4701,128.0416,4596892,0.6056,134.8867,134.8867,1.7027,1.856,2022,1,Jan,1,Thursday,-1.5065
2022-01-28,AAPL,Technology,127.064,128.6748,125.3528,126.0,3297814,-1.5945,134.4424,134.4424,1.6912,3.322,2022,1,Jan,1,Friday,-3.0769
2022-01-31,AAPL,Technology,123.5457,124.0669,122.0676,122.8473,3517068,-2.5021,134.0847,133.8902,1.728,1.9993,2022,1,Jan,1,Monday,-5.5021
2022-02-01,AAPL,Technology,126.2213,127.9781,124.0986,126.1374,3680481,2.6782,133.8309,133.5378,1.8328,3.8795,2022,2,Feb,1,Tuesday,-2.9712
2022-02-02,AAPL,Technology,126.5546,126.9932,125.0605,125.6752,8595533,-0.3664,133.5677,133.196,1.8332,1.9327,2022,2,Feb,1,Wednesday,-3.3268
2022-02-03,AAPL,Technology,125.9935,126.194,124.9739,125.8783,2508734,0.1616,133.2356,132.8911,1.8061,1.2201,2022,2,Feb,1,Thursday,-3.1705
2022-02-04,AAPL,Technology,123.1939,124.001,121.7718,122.7004,4979347,-2.5246,132.5604,132.4834,1.7267,2.2292,2022,2,Feb,1,Friday,-5.6151
2022-02-07,AAPL,Technology,120.935,122.1134,120.6902,121.5472,4959110,-0.9399,131.8535,132.0628,1.729,1.4232,2022,2,Feb,1,Monday,-6.5022
2022-02-08,AAPL,Technology,121.7959,123.1416,120.4739,121.8385,5935821,0.2397,131.187,131.6841,1.7375,2.6677,2022,2,Feb,1,Tuesday,-6.2781
2022-02-09,AAPL,Technology,119.036,120.0955,117.0521,119.363,6695274,-2.0318,130.2019,131.2441,1.5732,3.0434,2022,2,Feb,1,Wednesday,-8.1823
2022-02-10,AAPL,Technology,120.8615,121.2503,119.2084,120.2179,6173589,0.7162,129.1608,130.8639,1.5293,2.0419,2022,2,Feb,1,Thursday,-7.5247
2022-02-11,AAPL,Technology,119.7528,120.6313,118.4231,118.9663,8523058,-1.0411,128.1138,130.4673,1.5303,2.2082,2022,2,Feb,1,Friday,-8.4875
2022-02-14,AAPL,Technology,118.642,119.8879,117.6975,118.3892,6358032,-0.4851,126.9669,130.0777,1.4725,2.1904,2022,2,Feb,1,Monday,-8.9314
2022-02-15,AAPL,Technology,117.9575,118.1337,116.9996,117.1543,9140292,-1.0431,125.8143,129.6738,1.4728,1.1341,2022,2,Feb,1,Tuesday,-9.8813
2022-02-16,AAPL,Technology,120.3677,121.9977,119.9118,121.1072,6108272,3.3741,124.9154,129.4142,1.7542,2.0859,2022,2,Feb,1,Wednesday,-6.8406
2022-02-17,AAPL,Technology,121.1425,121.3509,121.0756,121.1263,2533267,0.0158,123.9843,129.1705,1.7413,0.2753,2022,2,Feb,1,Thursday,-6.8259
2022-02-18,AAPL,Technology,119.1553,119.9537,117.2691,118.8686,5563643,-1.8639,123.1782,128.8761,1.6468,2.6846,2022,2,Feb,1,Friday,-8.5626
2022-02-21,AAPL,Technology,119.8224,120.9469,118.1091,120.6761,4767347,1.5206,122.6693,128.6484,1.6074,2.8378,2022,2,Feb,1,Monday,-7.1722
2022-02-22,AAPL,Technology,118.3543,118.6509,117.8859,118.0725,6133061,-2.1575,122.0939,128.3625,1.6512,0.765,2022,2,Feb,1,Tuesday,-9.175
2022-02-23,AAPL,Technology,117.6413,119.7093,116.546,118.5636,5343723,0.4159,121.6585,128.1047,1.6309,3.1633,2022,2,Feb,1,Wednesday,-8.7972
2022-02-24,AAPL,Technology,109.382,110.3774,108.908,109.6863,5329936,-7.4874,120.7408,127.6324,2.2645,1.4694,2022,2,Feb,1,Thursday,-15.6259
2022-02-25,AAPL,Technology,107.8241,108.3629,106.7442,107.1078,10937529,-2.3508,119.7962,127.1193,2.2857,1.6187,2022,2,Feb,1,Friday,-17.6094
2022-02-28,AAPL,Technology,107.885,107.9486,105.884,107.5302,4080385,0.3944,119.0303,126.6415,2.2627,2.0646,2022,2,Feb,1,Monday,-17.2845
2022-03-01,AAPL,Technology,109.978,111.3985,106.8455,109.0026,6230428,1.3693,118.1736,126.2215,2.1791,4.553,2022,3,Mar,1,Tuesday,-16.1518
2022-03-02,AAPL,Technology,109.7637,110.258,108.278,109.3824,9628330,0.3484,117.3589,125.8299,2.1908,1.98,2022,3,Mar,1,Wednesday,-15.8597
