Date,Ticker,Sector,Open,High,Low,Close,Volume
2022-01-03,AAPL,Technology,130.8727,132.435,129.0445,130.0,6812566.0
2022-01-04,AAPL,Technology,131.5893,132.5741,130.6721,131.2143,4827627.0
2022-01-05,AAPL,Technology,130.2831,132.8976,129.3186,130.9402,5346070.0
2022-01-06,AAPL,Technology,131.4075,133.8085,130.1514,132.5192,4902083.0
2022-01-07,AAPL,Technology,137.0927,137.9282,135.6346,136.2051,7788876.0
2022-01-10,AAPL,Technology,136.4889,136.6062,135.121,135.6855,4023651.0
2022-01-11,AAPL,Technology,134.1387,135.5441,132.8705,135.168,9472580.0
2022-01-12,AAPL,Technology,139.6269,139.8608,138.5139,139.0643,10308067.0
2022-01-13,AAPL,Technology,140.5808,141.2904,139.4793,141.0409,5760095.0
2022-01-14,AAPL,Technology,140.1973,140.3009,138.5639,139.9055,3860488.0
2022-01-17,AAPL,Technology,141.2766,143.1204,140.1066,141.3278,5849574.0
2022-01-18,AAPL,Technology,141.4271,141.9892,138.3715,140.2054,11014625.0
2022-01-19,AAPL,Technology,138.4321,139.7406,138.0562,139.0861,3343587.0
2022-01-20,AAPL,Technology,139.2123,141.0105,138.2467,139.7475,4914035.0
2022-01-21,AAPL,Technology,134.7096,135.2752,133.4089,134.9907,7033957.0
2022-01-24,AAPL,Technology,131.9132,133.0724,130.6014,130.8534,4877857.0
2022-01-25,AAPL,Technology,129.8459,130.6329,128.2202,129.5813,11245771.0
2022-01-26,AAPL,Technology,127.2999,128.0303,126.6626,127.2708,3661480.0
2022-01-27,AAPL,Technology,128.686,129.3261,127.4701,128.0416,4596892.0
2022-01-28,AAPL,Technology,127.064,128.6748,125.3528,126.0,3297814.0
2022-01-31,AAPL,Technology,123.5457,124.0669,122.0676,122.8473,3517068.0
2022-02-01,AAPL,Technology,126.2213,127.9781,124.0986,126.1374,3680481.0
2022-02-02,AAPL,Technology,126.5546,126.9932,125.0605,125.6752,8595533.0
2022-02-03,AAPL,Technology,125.9935,126.194,124.9739,125.8783,2508734.0
2022-02-04,AAPL,Technology,123.1939,124.001,121.7718,122.7004,4979347.0
2022-02-07,AAPL,Technology,120.935,122.1134,120.6902,121.5472,4959110.0
2022-02-08,AAPL,Technology,121.7959,123.1416,120.4739,121.8385,5935821.0
2022-02-09,AAPL,Technology,119.036,120.0955,117.0521,119.363,6695274.0
2022-02-10,AAPL,Technology,120.8615,121.2503,119.2084,120.2179,6173589.0
2022-02-11,AAPL,Technology,119.7528,120.6313,118.4231,118.9663,8523058.0
2022-02-14,AAPL,Technology,118.642,119.8879,117.6975,118.3892,6358032.0
2022-02-15,AAPL,Technology,117.9575,118.1337,116.9996,117.1543,9140292.0
2022-02-16,AAPL,Technology,120.3677,121.9977,119.9118,121.1072,6108272.0
2022-02-17,AAPL,Technology,121.1425,121.3509,121.0756,121.1263,2533267.0
2022-02-18,AAPL,Technology,119.1553,119.9537,117.2691,118.8686,5563643.0
2022-02-21,AAPL,Technology,119.8224,120.9469,118.1091,120.6761,4767347.0
2022-02-22,AAPL,Technology,118.3543,118.6509,117.8859,118.0725,6133061.0
2022-02-23,AAPL,Technology,117.6413,119.7093,116.546,118.5636,5343723.0
2022-02-24,AAPL,Technology,109.382,110.3774,108.908,109.6863,5329936.0
2022-02-25,AAPL,Technology,107.8241,108.3629,106.7442,107.1078,10937529.0
2022-02-28,AAPL,Technology,107.885,107.9486,105.884,107.5302,4080385.0
2022-03-01,AAPL,Technology,109.978,111.3985,106.8455,109.0026,6230428.0
2022-03-02,AAPL,Technology,109.7637,110.258,108.278,109.3824,9628330.0
2022-03-03,AAPL,Technology,108.7528,109.8375,108.6553,109.1985,12588156.0
2022-03-04,AAPL,Technology,108.45,109.6967,107.572,108.6503,4509355.0
2022-03-07,AAPL,Technology,105.2879,106.9939,103.9131,105.8022,4798782.0
2022-03-08,AAPL,Technology,105.3541,106.4046,104.2201,104.4736,4456704.0
2022-03-09,AAPL,Technology,104.1652,104.6967,103.2315,103.6492,6895019.0
2022-03-10,AAPL,Technology,104.9615,106.9269,103.7736,105.6629,6392594.0
2022-03-11,AAPL,Technology,106.3233,107.0062,104.5994,106.3587,4900606.0
2022-03-14,AAPL,Technology,102.2178,104.3526,100.7422,103.026,6631217.0
2022-03-15,AAPL,Technology,104.2234,104.6397,101.9052,103.6682,3987979.0
2022-03-16,AAPL,Technology,103.1765,105.4232,102.0424,102.9911,2893953.0
2022-03-17,AAPL,Technology,102.4371,103.3229,101.7337,101.7774,4991001.0
2022-03-18,AAPL,Technology,103.1576,104.2308,102.4524,102.9387,12185545.0
2022-03-21,AAPL,Technology,103.9646,105.0869,102.0372,104.8902,4418716.0
2022-03-22,AAPL,Technology,105.794,107.3453,105.6221,106.6904,3467727.0
2022-03-23,AAPL,Technology,104.4265,106.8222,103.8202,105.1214,3757855.0
2022-03-24,AAPL,Technology,103.9525,105.1173,103.6931,104.5784,3354038.0
2022-03-25,AAPL,Technology,105.6349,105.6914,104.631,105.2438,7089037.0
2022-03-28,AAPL,Technology,107.5468,107.9262,106.5752,107.134,8618774.0
2022-03-29,AAPL,Technology,106.8549,108.1147,106.0638,106.2528,14112604.0
2022-03-30,AAPL,Technology,105.9905,106.6476,105.5879,105.9402,5538438.0
2022-03-31,AAPL,Technology,103.0508,104.4818,102.5985,103.8729,4259979.0
2022-04-01,AAPL,Technology,102.5488,102.9369,100.7339,101.6779,3837375.0
2022-04-04,AAPL,Technology,103.7438,103.7664,101.2158,103.2056,11860451.0
2022-04-05,AAPL,Technology,105.2494,106.1817,104.1758,105.7664,6629813.0
2022-04-06,AAPL,Technology,106.0144,106.2592,104.0847,105.6716,6104642.0
2022-04-07,AAPL,Technology,108.0928,108.7197,105.8169,107.6227,3185590.0
2022-04-08,AAPL,Technology,108.1147,108.5852,107.0935,108.3663,11604602.0
2022-04-11,AAPL,Technology,107.1256,107.5938,105.5508,107.1513,3754870.0
2022-04-12,AAPL,Technology,108.0705,109.5043,106.5511,107.8912,3657049.0
2022-04-13,AAPL,Technology,111.3522,111.7473,110.598,110.9212,4321890.0
2022-04-14,AAPL,Technology,110.8787,111.4366,110.5088,110.8941,7354315.0
2022-04-15,AAPL,Technology,113.7726,116.9858,112.5864,114.0616,5865276.0
2022-04-18,AAPL,Technology,108.5155,109.9955,107.3795,108.7286,3957400.0
2022-04-19,AAPL,Technology,111.3141,111.6584,108.835,110.3807,4363349.0
2022-04-20,AAPL,Technology,109.7487,110.6742,108.4716,110.5978,8228233.0
2022-04-21,AAPL,Technology,109.9099,110.5358,109.2671,110.0468,2492882.0
2022-04-22,AAPL,Technology,110.683,111.029,109.9259,110.2725,4257237.0
2022-04-25,AAPL,Technology,107.0305,109.0187,106.0243,106.3715,9571664.0
2022-04-26,AAPL,Technology,106.6961,106.9432,105.8061,105.9935,4824163.0
2022-04-27,AAPL,Technology,106.7771,106.8128,106.5914,106.7172,2980110.0
2022-04-28,AAPL,Technology,110.4547,110.5323,107.6278,109.5988,7905840.0
2022-04-29,AAPL,Technology,108.5317,108.9589,106.4779,108.6202,21721755.0
2022-05-02,AAPL,Technology,107.4045,108.4725,106.0807,107.0829,6792539.0
2022-05-03,AAPL,Technology,107.0565,108.063,105.8943,106.1586,3611348.0
2022-05-04,AAPL,Technology,107.841,108.1355,107.6297,107.9503,7725076.0
2022-05-05,AAPL,Technology,109.5016,109.9862,108.602,108.6322,13614583.0
2022-05-06,AAPL,Technology,107.8681,108.0629,106.622,107.6398,8690242.0
2022-05-09,AAPL,Technology,108.1211,109.8383,107.0554,108.6773,11302238.0
2022-05-10,AAPL,Technology,103.7585,104.0404,102.7744,103.4768,4842197.0
2022-05-11,AAPL,Technology,106.0253,106.3369,104.9995,105.3224,10247447.0
2022-05-12,AAPL,Technology,104.4801,104.7087,103.1309,104.0336,9062754.0
2022-05-13,AAPL,Technology,104.0349,105.178,102.7898,103.4616,6869809.0
2022-05-16,AAPL,Technology,102.6536,102.9116,102.5374,102.7728,4585513.0
2022-05-17,AAPL,Technology,99.7904,100.1205,98.639,100.1065,2198043.0
2022-05-18,AAPL,Technology,101.0344,101.9327,98.7289,100.6801,3632630.0
2022-05-19,AAPL,Technology,100.6967,102.3985,100.5422,101.1935,3523236.0
2022-05-20,AAPL,Technology,101.5498,102.1769,99.1909,101.2433,8168788.0
2022-05-23,AAPL,Technology,100.8909,101.1858,100.444,100.8563,4950409.0
2022-05-24,AAPL,Technology,98.0462,99.5568,96.5901,98.3271,8337164.0
2022-05-25,AAPL,Technology,97.8116,99.9551,97.0246,97.622,6667015.0
2022-05-26,AAPL,Technology,97.4399,98.1028,96.8132,97.0588,5267408.0
2022-05-27,AAPL,Technology,94.9386,95.7499,94.7759,95.696,6592776.0
2022-05-30,AAPL,Technology,94.7716,96.9109,94.6871,95.4565,3050002.0
2022-05-31,AAPL,Technology,96.7136,97.6689,94.5336,96.1889,6097368.0
2022-06-01,AAPL,Technology,99.6907,100.5769,98.6507,99.4931,3059324.0
2022-06-02,AAPL,Technology,99.2725,100.0474,98.4016,99.8456,6586068.0
2022-06-03,AAPL,Technology,100.3938,100.9369,100.0596,100.3484,2254528.0
2022-06-06,AAPL,Technology,101.0894,101.4869,98.9932,100.254,4815624.0
2022-06-07,AAPL,Technology,96.9191,97.0283,96.4574,96.8316,5315285.0
2022-06-08,AAPL,Technology,97.3804,97.8538,96.5767,96.8241,6110655.0
2022-06-09,AAPL,Technology,96.4652,98.1919,94.9383,96.9678,2684531.0
2022-06-10,AAPL,Technology,101.8175,102.4493,100.5739,101.306,3778072.0
2022-06-13,AAPL,Technology,94.7871,95.4927,94.5487,94.9174,3292886.0
2022-06-14,AAPL,Technology,95.6194,97.4626,95.02,95.4705,3462471.0
2022-06-15,AAPL,Technology,96.0724,96.2316,95.3376,95.4491,5110737.0
2022-06-16,AAPL,Technology,93.6596,93.7832,92.1863,,5716253.0
2022-06-17,AAPL,Technology,95.2523,95.5155,93.0364,95.4397,3345448.0
2022-06-20,AAPL,Technology,96.6446,98.1972,95.7942,96.7696,8683828.0
2022-06-21,AAPL,Technology,99.0544,99.5572,96.7472,98.1862,4136599.0
2022-06-22,AAPL,Technology,95.8977,96.7953,94.9405,96.6183,3503591.0
2022-06-23,AAPL,Technology,98.8379,99.127,98.1512,99.0966,5619995.0
2022-06-24,AAPL,Technology,97.2968,98.65,96.2333,96.6357,14416391.0
2022-06-27,AAPL,Technology,97.3862,98.7746,96.3226,97.6951,11538901.0
2022-06-28,AAPL,Technology,101.5225,101.9692,101.4344,101.5861,3557273.0
2022-06-29,AAPL,Technology,100.6377,101.1217,98.9885,99.8155,5441845.0
2022-06-30,AAPL,Technology,98.1205,100.0956,96.7119,98.838,4288974.0
2022-07-01,AAPL,Technology,98.783,100.0277,98.24,99.0548,2895858.0
2022-07-04,AAPL,Technology,99.0672,99.3469,98.1322,98.1968,7385192.0
2022-07-05,AAPL,Technology,96.0831,98.0765,95.1571,95.4952,5503930.0
2022-07-06,AAPL,Technology,95.0103,95.9173,94.5766,95.6512,6690147.0
2022-07-07,AAPL,Technology,94.2132,94.8771,92.7359,93.8605,1996379.0
2022-07-08,AAPL,Technology,94.5226,95.1311,92.6853,94.6982,2839736.0
2022-07-11,AAPL,Technology,93.1951,93.2002,92.4657,93.1688,5208816.0
2022-07-12,AAPL,Technology,95.5995,95.8907,95.1094,95.8054,6747924.0
2022-07-13,AAPL,Technology,94.1608,94.6418,93.5181,94.493,6538402.0
2022-07-14,AAPL,Technology,93.7227,94.743,93.6799,93.983,5444938.0
2022-07-15,AAPL,Technology,95.9506,95.9721,94.6947,95.3968,10019585.0
2022-07-18,AAPL,Technology,92.7752,93.7899,90.6539,93.3214,5162475.0
2022-07-19,AAPL,Technology,93.1441,94.2551,92.9864,93.7408,5143649.0
2022-07-20,AAPL,Technology,96.7887,97.2463,94.4269,95.9839,3618910.0
2022-07-21,AAPL,Technology,93.2553,94.0436,93.1241,93.245,2730788.0
2022-07-22,AAPL,Technology,93.7937,94.299,92.7781,93.5922,6159731.0
2022-07-25,AAPL,Technology,93.3248,94.2482,92.0627,94.0675,5385831.0
2022-07-26,AAPL,Technology,96.2597,96.5492,94.9448,95.4289,4071340.0
2022-07-27,AAPL,Technology,92.7062,93.8576,92.4521,93.3423,4117925.0
2022-07-28,AAPL,Technology,91.1766,91.3164,89.9023,91.1611,7890468.0
2022-07-29,AAPL,Technology,92.2593,94.3752,91.2799,92.054,2524387.0
2022-08-01,AAPL,Technology,92.3625,92.7702,91.3561,92.5829,4267861.0
2022-08-02,AAPL,Technology,93.4286,93.9114,90.8678,93.0374,3804998.0
2022-08-03,AAPL,Technology,93.7143,94.0446,92.8169,93.6548,4923247.0
2022-08-04,AAPL,Technology,92.6258,93.6224,92.4139,92.5459,4932202.0
2022-08-05,AAPL,Technology,92.3842,93.7507,91.4067,92.9698,3247824.0
2022-08-08,AAPL,Technology,93.4571,94.6519,92.0993,93.4974,10433513.0
2022-08-09,AAPL,Technology,92.9843,93.1582,91.3834,92.3326,2854871.0
2022-08-10,AAPL,Technology,95.3632,96.0529,94.944,95.4704,14703594.0
2022-08-11,AAPL,Technology,96.5992,97.1243,96.0832,96.3229,7457256.0
2022-08-12,AAPL,Technology,94.4893,94.5165,93.6565,94.2959,6292912.0
2022-08-15,AAPL,Technology,95.469,96.0512,95.2513,95.448,5230251.0
2022-08-16,AAPL,Technology,93.1105,94.1201,92.9546,93.8116,2549442.0
2022-08-17,AAPL,Technology,94.9208,96.0105,94.338,95.1783,8920440.0
2022-08-18,AAPL,Technology,96.6504,98.2385,96.0215,97.2012,8227331.0
2022-08-19,AAPL,Technology,96.0192,96.6718,94.7242,95.8042,3889212.0
2022-08-22,AAPL,Technology,96.8394,98.6694,96.3513,97.5039,6280074.0
2022-08-23,AAPL,Technology,97.4571,100.1821,96.1698,98.2673,12293537.0
2022-08-24,AAPL,Technology,100.2062,100.6895,98.7978,99.7607,4166021.0
2022-08-25,AAPL,Technology,104.0019,104.7814,102.6542,103.2067,2634752.0
2022-08-26,AAPL,Technology,102.6664,104.6944,101.6458,102.7921,
2022-08-29,AAPL,Technology,102.1451,102.3978,100.2148,101.4386,7892697.0
2022-08-30,AAPL,Technology,100.4229,100.5731,99.6011,99.855,4415373.0
2022-08-31,AAPL,Technology,99.0346,100.4584,97.6415,98.4286,7218610.0
2022-09-01,AAPL,Technology,98.6078,98.768,97.1837,98.3314,6106061.0
2022-09-02,AAPL,Technology,99.5407,100.1209,98.9474,98.9746,2371374.0
2022-09-05,AAPL,Technology,100.1173,100.3939,97.9826,99.5071,5639607.0
2022-09-06,AAPL,Technology,100.6603,103.3941,99.0133,101.0285,6829232.0
2022-09-07,AAPL,Technology,101.7719,102.9453,100.4801,101.0925,4665569.0
2022-09-08,AAPL,Technology,102.8614,104.9214,102.0876,103.7779,3145841.0
2022-09-09,AAPL,Technology,104.2397,104.4341,102.5341,103.3251,3740338.0
2022-09-12,AAPL,Technology,108.533,109.1074,107.7231,108.4255,10305625.0
2022-09-13,AAPL,Technology,109.074,110.8713,108.472,109.69,4675935.0
2022-09-14,AAPL,Technology,108.549,108.5633,106.6316,108.0414,2875664.0
2022-09-15,AAPL,Technology,105.3321,106.6912,104.9764,106.002,11857016.0
2022-09-16,AAPL,Technology,107.7086,108.0933,105.3296,106.965,10360865.0
