YearMonth,AAPL,EUR/USD,GOOGL,JPM,MSFT,XOM
2022-01,-0.2683,0.2231,-0.0002,0.3757,-0.5557,0.196
2022-02,-0.6388,0.0486,-0.9797,-1.3553,-0.681,-1.1282
2022-03,-0.1404,-0.0547,0.3804,0.2317,-0.4131,0.2305
2022-04,0.232,0.107,-0.5717,0.7984,0.0987,0.0216
2022-05,-0.5401,-0.465,-0.3016,-0.3024,-0.5101,-0.4676
2022-06,0.152,-0.2314,-0.7108,-0.8697,-0.6119,-0.5397
2022-07,-0.3242,-0.4137,-0.1643,-0.0166,0.1491,0.111
2022-08,0.3038,-0.01,0.2614,-0.7498,0.3123,0.7685
2022-09,0.2345,0.007,-0.4989,0.195,-0.0326,0.5296
2022-10,0.9532,0.2868,0.4639,-0.0823,0.7422,0.6733
2022-11,-0.1181,0.023,0.2135,0.7402,-0.0919,-0.3547
2022-12,0.2166,0.1322,0.5735,-0.4677,-0.4474,-0.67
2023-01,-0.4532,0.1347,0.7069,1.0271,-0.3771,-0.3513
2023-02,0.2497,0.0228,0.1192,-0.154,0.5815,-0.3305
2023-03,0.5152,-0.2793,-0.371,0.1386,-0.4604,-0.6106
2023-04,-0.1255,-0.0508,0.0772,-0.2644,0.1504,0.105
2023-05,0.2604,0.169,0.0778,1.0085,0.3725,0.3758
2023-06,0.4134,-0.1505,0.8567,0.3736,0.2442,0.311
2023-07,-0.0922,0.2455,-0.7303,-0.4793,-0.2636,0.5051
2023-08,0.346,0.12,0.288,0.0204,-0.1501,-0.1197
2023-09,-0.2507,0.032,0.3979,0.2892,-0.709,0.5808
2023-10,-0.2955,0.1491,0.577,0.0396,-0.0328,0.1136
2023-11,0.4497,0.1416,0.6022,0.2404,0.4237,-0.1913
2023-12,-0.368,0.058,0.754,-0.0649,-0.4976,-0.9499
2024-01,-0.5553,0.2839,-0.2829,0.099,-0.1402,0.0912
2024-02,0.2468,0.0034,-0.5261,-0.0955,-0.1234,0.0424
2024-03,-0.0356,-0.0322,0.2293,-0.0645,0.1876,0.4291
2024-04,0.2907,0.0914,-0.3281,-0.1789,-0.1979,-0.482
2024-05,0.392,-0.0291,-0.5707,-0.405,-0.186,-0.1845
2024-06,-0.6745,-0.1291,-0.2939,0.0139,0.1596,0.1514
2024-07,0.0294,-0.0449,0.1569,0.6277,-0.9379,-0.3427
2024-08,0.0295,0.168,0.3405,-0.6166,0.1379,-0.2003
2024-09,-0.1674,-0.0849,0.0435,-0.308,0.6556,0.502
2024-10,-0.0666,-0.0736,-0.23,-0.4051,-0.3376,-0.394
2024-11,-0.1115,0.3806,0.445,0.6007,0.0142,-0.1025
2024-12,0.5824,-0.1843,-0.08,0.4733,0.3013,0.2329
