Year,Quarter,AAPL,EUR/USD,GOOGL,JPM,MSFT,XOM
2022,1,-20.1,4.02,-11.88,-14.11,-29.56,-13.76
2022,2,-23.97,-9.17,-38.6,-22.44,-44.42,-31.71
2022,3,-20.52,-16.86,-44.42,-32.85,-39.31,-7.22
2022,4,-2.18,-8.81,-28.14,-30.63,-37.81,-16.12
2023,1,3.75,-11.69,-22.1,-13.79,-42.7,-37.72
2023,2,16.52,-12.36,-4.49,10.31,-32.68,-26.43
2023,3,16.03,-4.61,-6.03,5.28,-47.46,-11.16
2023,4,9.8,2.74,40.83,9.15,-48.95,-29.93
2024,1,-0.08,8.89,21.99,6.97,-50.24,-21.97
2024,2,0.76,7.4,-7.43,-6.77,-53.2,-31.25
2024,3,-2.59,8.2,2.55,-13.12,-55.77,-33.28
2024,4,5.46,10.36,3.15,-1.3,-56.52,-38.06
